"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" огондо автсечеволеч агалб ялд ьтибУ";"огоннешиламу";"Убить для блага человечества одного ";"умалишенного";" ";"или десять миллионов -- различие лишь арифметическое. ";"И. Г. Эренбург. Необычайные похождения Хулио Хуренито (1921)";"И. Г. Эренбург";"1891";"Необычайные похождения Хулио Хуренито";"1921";"художественная";"роман";"";"";"";"книга";"омонимия снята автоматически";"4964";"71937";"н-возраст";"н-уровень";"большая";"Убить для блага человечества одного умалишенного или десять миллионов -- различие лишь арифметическое. ";"75195:3100:5"
" ялд ыциньлоб ыталап еылыну ан исюЛ";"хыннешиламу";"Люси на унылые палаты больницы для ";"умалишенных";". ";"";"И. Г. Эренбург. Необычайные похождения Хулио Хуренито (1921)";"И. Г. Эренбург";"1891";"Необычайные похождения Хулио Хуренито";"1921";"художественная";"роман";"";"";"";"книга";"омонимия снята автоматически";"4964";"71937";"н-возраст";"н-уровень";"большая";"На следующий день я принялся за свои прерванные занятия и, оплакивая все, искренне плакал над судьбой дорогого мосье Дэле, который во имя химерического «Универсального Некрополя» променял душистый горошек и Люси на унылые палаты больницы для умалишенных. ";"75195:3633:35"
" мод в дорог йиндесос в оге";"хыннешиламу";"его в соседний город в дом ";"умалишенных";". ";"";"Н. Никандров. Проклятые зажигалки (1920-1929)";"Н. Никандров";"";"Проклятые зажигалки";"1920-1929";"художественная";"повесть";"";"Рассказы 20-х годов разных авторов";"";"книга";"омонимия снята автоматически";"2183";"25397";"н-возраст";"н-уровень";"большая";"И вот, после долгих мучений с ним, после крушения надежд на полное его выздоровление, после длительных споров членов семьи между собой, жена и дети решили с помощью завкома отправить его в соседний город в дом умалишенных. ";"72345:2064:35"
" аксипаз огЕ";"йыннешиламу";"Его записка ";"умалишенный";" ";"бред. ";"Сергей Буданцев. Мятеж (1919-1922)";"Сергей Буданцев";"1896";"Мятеж";"1919-1922";"художественная";"роман";"";"Круг: Альманах артели писателей";"1923";"книга";"омонимия снята автоматически";"3532";"31445";"н-возраст";"н-уровень";"большая";"Его записка умалишенный бред. ";"76639:2805:2"
" ялд уцинбечел в итзеву ьсолширп огороток";"хыннешиламу";"которого пришлось увезти в лечебницу для ";"умалишенных";", ";"с первого же заседания «заживо-разложившийся";"Сергей Буданцев. Мятеж (1919-1922)";"Сергей Буданцев";"1896";"Мятеж";"1919-1922";"художественная";"роман";"";"Круг: Альманах артели писателей";"1923";"книга";"омонимия снята автоматически";"3532";"31445";"н-возраст";"н-уровень";"большая";"Вот перед вами Северов, которого пришлось увезти в лечебницу для умалишенных, с первого же заседания «заживо-разложившийся», по меткому выражению Председателя Губернской Чрезвычайной Комиссии тов. Болтова, -- тип кадрового офицера. ";"76639:3497:10"
" ялд елатипсог моннеов в имяобоп илибу";"хыннешиламу";"убили побоями в военном госпитале для ";"умалишенных";"; ";"кажется, это даже вошло в систему";"А. Н. Бенуа. Дневник (1918) // Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.), 2010|2001";"А. Н. Бенуа";"1870";"Дневник";"1918";"бытовая";"дневник, записные книжки";"искусство и культура | частная жизнь";"Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.)";"2010|2001";"книга | журнал";"омонимия снята автоматически";"3964";"65548";"н-возраст";"н-уровень";"личная";"Бедная Катя -- вдова прежнего старшего, которая умоляла Акицу поселиться у нее (ее мужа, сошедшего с ума от всего виденного на войне, где он состоял в обозе, буквально убили побоями в военном госпитале для умалишенных; кажется, это даже вошло в систему, ибо вымирают несчастные больные в чудовищном количестве). ";"74078:1109:33"
" или имыньлобонвешуд екдяроп моннелвонатсу в еыннанзирп";"имыннешиламу";"признанные в установленном порядке душевнобольными или ";"умалишенными";", ";"а равно лица, состоящие под опекой; ";"Конституция (Основной Закон) Российской Социалистической Федеративной Советской Республики (1918)";"";"";"Конституция (Основной Закон) Российской Социалистической Федеративной Советской Республики";"1918";"официально-деловая | нехудожественная";"конституция";"политика и общественная жизнь";"Ю. С. Кукушкин, О. И. Чистяков. Очерк истории Советской Конституции";"1987";"книга";"омонимия снята автоматически";"326";"3964";"н-возраст";"н-уровень";"большая";"е) лица, признанные в установленном порядке душевнобольными или умалишенными, а равно лица, состоящие под опекой; ";"75003:258:8"
" ялд ецинбечел в тидис но ,ьтыб";"хыннешиламу";"быть, он сидит в лечебнице для ";"умалишенных";", ";"и потому... ";"А. Т. Аверченко. Подходцев и двое других (1917)";"А. Т. Аверченко";"1880";"Подходцев и двое других";"1917";"художественная";"повесть";"";"«Аркадий Аверченко. «Шутка мецената»";"2001";"книга";"омонимия снята автоматически";"4493";"31964";"н-возраст";"н-уровень";"очень большая";"Впрочем, может быть, он сидит в лечебнице для умалишенных, и потому... ";"72665:3115:8"
" амоД имыньлоб с или мецниревз ясмишвавотнубзв";"хыннешиламу";"взбунтовавшимся зверинцем или с больными Дома ";"умалишенных";". ";"";"А. Н. Бенуа. Дневник (1917) // Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.), 2010|2001";"А. Н. Бенуа";"1870";"Дневник";"1917";"бытовая";"дневник, записные книжки";"искусство и культура | частная жизнь";"Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.)";"2010|2001";"книга | журнал";"омонимия снята автоматически";"12657";"190974";"н-возраст";"н-уровень";"личная";"Приходилось же ему бороться с «необузданной стихией», с взбунтовавшимся зверинцем или с больными Дома умалишенных. ";"74076:2225:14"
" ыциньлоб йотэ то ,арамшок оготэ то";"хыннешиламу";"от этого кошмара, от этой больницы ";"умалишенных";", ";"неистово аплодировавших и Карташеву, и офицеру. ";"А. Н. Бенуа. Дневник (1917) // Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.), 2010|2001";"А. Н. Бенуа";"1870";"Дневник";"1917";"бытовая";"дневник, записные книжки";"искусство и культура | частная жизнь";"Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.)";"2010|2001";"книга | журнал";"омонимия снята автоматически";"12657";"190974";"н-возраст";"н-уровень";"личная";"Я был с Шейхелем и мог ему по выходе излить все свое горе, весь свой ужас от этого кошмара, от этой больницы умалишенных, неистово аплодировавших и Карташеву, и офицеру. ";"74076:5522:22"
" ялд мещижебу личнок и ...еднагапорп йоворхам";"хыннешиламу";"махровой пропаганде... и кончил убежищем для ";"умалишенных";" ";"в Париже, где и умер в";"П. Д. Боборыкин. От Герцена до Толстого (1917)";"П. Д. Боборыкин";"1836";"От Герцена до Толстого";"1917";"публицистика | нехудожественная";"мемуары";"";"Боборыкин П. Д. За полвека. Воспоминания";"2003";"книга";"омонимия снята автоматически";"492";"9686";"н-возраст";"н-уровень";"большая";"И его темперамент взял настолько вверх, что он вскоре должен был бежать за границу, где и сделался вожаком целой группы русских революционеров, издавал журнал, предавался самой махровой пропаганде... и кончил убежищем для умалишенных в Париже, где и умер в половине 80-х годов. ";"62966:232:32"
" уцинбечел в тузев ее отч ,окьлот";"хыннешиламу";"только, что ее везут в лечебницу ";"умалишенных";" ";"Эспризгуса. ";"А. С. Грин. Враги (1917)";"А. С. Грин";"1880";"Враги";"1917";"художественная";"рассказ";"";"А. С. Грин. Собр. соч. в 6 т. Т. 6";"1980";"книга";"омонимия снята автоматически";"87";"1320";"н-возраст";"н-уровень";"большая";"Нет, я знаю только, что ее везут в лечебницу умалишенных Эспризгуса. ";"75804:27:9"
" мод в ьтитсемоп и ьтазявс огокцорТ";"хыннешиламу";"Троцкого связать и поместить в дом ";"умалишенных";", ";"а затем в союзничестве с другими";"Н. П. Окунев. Дневник Москвича (1917)";"Н. П. Окунев";"1968";"Дневник Москвича";"1917";"бытовая | нехудожественная";"дневник, записные книжки";"политика и общественная жизнь | частная жизнь | администрация и управление | бизнес, коммерция, экономика, финансы | армия и вооруженные конфликты";"Дневник Москвича: 1917–1924. Париж: YMCA-Press. 1990.";"1990";"книга";"омонимия снята автоматически";"3428";"44896";"н-возраст";"н-уровень";"личная";"Не лучше ли просто прислать к нам в Россию немецких жандармов и городовых и разогнать всю нашу шатию «в сером», а разных Врыленко, Дубенко, Гнусенко, Ленина и коммивояжера Троцкого связать и поместить в дом умалишенных, а затем в союзничестве с другими нашими неприятелями и с англичанами, французами, американцами и японцами разделить Россию на части и взять ее со всеми республиками, автономиями и комитетами под строжайшую опеку. ";"74557:3104:34"
" емод в оге илитсемоп ,ьтсончил оге";"хыннешиламу";"его личность, поместили его в доме ";"умалишенных";" ";"в Триесте. ";"М. К. Первухин. Вторая жизнь Наполеона // «Журнал приключений» (Книги VI и VII), Типография Товарищества И. Д. Сытина, 1917";"М. К. Первухин";"1870";"Вторая жизнь Наполеона";"1917";"художественная";"повесть";"";"«Журнал приключений» (Книги VI и VII), Типография Товарищества И. Д. Сытина, 1917";"1917";"журнал";"омонимия снята автоматически";"4642";"55729";"н-возраст";"н-уровень";"большая";"Уже тогда Ворчестер был в таком состоянии, что австрийцы, не имея возможности установить его личность, поместили его в доме умалишенных в Триесте. ";"126738:4613:19"
" амод зи илитсупыв оге ,яинанзос икселборп";"хыннешиламу";"проблески сознания, его выпустили из дома ";"умалишенных";", ";"и он вернулся в Англию. ";"М. К. Первухин. Вторая жизнь Наполеона // «Журнал приключений» (Книги VI и VII), Типография Товарищества И. Д. Сытина, 1917";"М. К. Первухин";"1870";"Вторая жизнь Наполеона";"1917";"художественная";"повесть";"";"«Журнал приключений» (Книги VI и VII), Типография Товарищества И. Д. Сытина, 1917";"1917";"журнал";"омонимия снята автоматически";"4642";"55729";"н-возраст";"н-уровень";"большая";"Через несколько лет у Ворчестера проявились проблески сознания, его выпустили из дома умалишенных, и он вернулся в Англию. ";"126738:4614:12"
" отч ,иачулс илыб как кат ,ашырк";"еыннешиламу";"крыша, так как были случаи, что ";"умалишенные";" ";"бросались в пролет или бросали в";"А. Н. Бенуа. Дневник (1916) // Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.), 2010|2001";"А. Н. Бенуа";"1870";"Дневник";"1916";"бытовая";"дневник, записные книжки";"искусство и культура | частная жизнь";"Бенуа А. Н. Дневник. 1916—1918. — М.: «Захаров», 2010. — 768 с. (3-е изд. — в 2016 г.)";"2010|2001";"книга | журнал";"омонимия снята автоматически";"1474";"13814";"н-возраст";"н-уровень";"личная";"Особенно жутко то, что коридор квартиры Охочинской переходит в общий большой коридор и что над лестницей устроена особая крыша, так как были случаи, что умалишенные бросались в пролет или бросали в него всякую всячину! ";"74075:583:24"
" ъмод ъв ьтиварпто и оге ьтазявс";"ъхыннешиламу";"связать его и отправить въ домъ ";"умалишенныхъ";". ";"";"М. К. Первухин. Алая кровь // «Огонек», № 11, 1916";"М. К. Первухин";"1870";"Алая кровь";"1916";"художественная";"рассказ";"";"«Огонек», № 11, 1916";"1916";"журнал";"омонимия снята автоматически";"189";"1783";"н-возраст";"н-уровень";"большая";"Пришлось связать его и отправить въ домъ умалишенныхъ. ";"126718:186:7"
" емод в яинечюлказ огентел-52 елсоп ,аречВ";"хыннешиламу";"Вчера, после 25-летнего заключения в доме ";"умалишенных";", ";"освобожден убийца московского городского головы Алексеева";"25 лет в «сумасшедшем» доме (16.07.1916) // газета «Петроградский листок», 1916";"неизвестный";"";"25 лет в «сумасшедшем» доме";"16.07.1916";"публицистика | нехудожественная";"информационное сообщение";"администрация и управление | здоровье и медицина";"газета «Петроградский листок»";"1916";"газета";"омонимия снята автоматически";"5";"33";"н-возраст";"н-уровень";"большая";"Вчера, после 25-летнего заключения в доме умалишенных, освобожден убийца московского городского головы Алексеева -- Адрианов. ";"122380:2:6"
" мод отэ ьдеВ";"хыннешиламу";"Ведь это дом ";"умалишенных";", ";"и этот желтый дом в самую";"А. Н. Савин. Дневник (1915)";"А. Н. Савин";"1873";"Дневник";"1915";"бытовая | нехудожественная";"дневник, записные книжки";"частная жизнь | политика и общественная жизнь | образование | администрация и управление";"Савин А. Н. Университетские дела: дневник 1908--1917. М., СПб.: центр гуманитарных инициатив, 2015";"2015";"книга";"омонимия снята автоматически";"1396";"17129";"н-возраст";"н-уровень";"личная";"Ведь это дом умалишенных, и этот желтый дом в самую трагическую полосу русской истории управляет страной. ";"74703:981:3"
" хамод в окьлот отсем ьтеми тежом";"хыннешиламу";"может иметь место только в домах ";"умалишенных";", ";"а не в литературе и находиться";"Ю. И. Айхенвальд. Спор о Белинском. Ответ критикам (1914)";"Ю. И. Айхенвальд";"1872";"Спор о Белинском. Ответ критикам";"1914";"публицистика | нехудожественная";"статья";"искусство и культура | филология | культурология";"Силуэты русских писателей";"1906-1910";"книга";"омонимия снята автоматически";"916";"26675";"н-возраст";"н-уровень";"большая";"Я вспоминаю, например, его непростительное отношение к Пушкину, ею слова, что «сатира не может быть художественным произведением» (исчезает целое течение от Ювенала до Щедрина), его слова, что «фантастическое в наше время может иметь место только в домах умалишенных, а не в литературе и находиться в заведовании врачей, а не поэтов» (какой вандализм, какое разорение литературы, если отнять от нее фантастику!); я вспоминаю, что «Германа и Доротею» он называл «отвратительной пошлостью» и не находил поэзии в «Божественной комедии»; я в душевном изнеможении думаю о том, что когда он стоял перед Сикстинской Мадонной, то она показалась ему... comme il faut -- «ideal sublime du comme il fauts», я припоминаю его мысль, что «о таких предметах, как живопись, теперь так странно читать... длинные статьи: так думают многие» (Письма, III, 119); я отдаю себе отчет в том, что восходившей в его время звезды Тютчева он не заметил; я вспоминаю и многое другое, о чем отчасти я уже писал в своем силуэте, -- и мне кажется тогда, что, отрицая виноватого перед Дантом, Гете, Рафаэлем, Пушкиным, отрицая Белинского-эстетика, я пропорции соблюдаю. ";"72367:905:37"
" отч ,яагалопдерп ,сортам еж йогурД";"йыннешиламу";"Другой же матрос, предполагая, что ";"умалишенный";" ";"так же опасен, как и всякая";"А. С. Новиков-Прибой. Пошутили (1914)";"А. С. Новиков-Прибой";"1877";"Пошутили";"1914";"художественная";"рассказ";"";"Новиков-Прибой А. С. В бухте Отрада";"1977";"книга";"омонимия снята автоматически";"326";"3009";"н-возраст";"н-уровень";"большая";"Другой же матрос, предполагая, что умалишенный так же опасен, как и всякая бешеная собака, на всякий случай пригрозил: ";"77589:225:5"
" умод к ьсяялварпан ,ухудзов оп алылп";"хыннешиламу";"плыла по воздуху, направляясь к дому ";"умалишенных";" ";"в Флери Дэзобрэ. ";"Иностранные известия (04.06.1914) // «Мариупольская жизнь», 1914";"";"";"Иностранные известия";"04.06.1914";"публицистика | нехудожественная";"заметка";"природа | армия и вооруженные конфликты | частная жизнь";"«Мариупольская жизнь»";"1914";"газета";"омонимия снята автоматически";"17";"169";"н-возраст";"н-уровень";"большая";"Во время грозы 18 мая в Орлеане на окраинах города появилась шаровидная молния, которая медленно плыла по воздуху, направляясь к дому умалишенных в Флери Дэзобрэ. ";"113641:3:21"
" ялд ациньлоб яаксвашрав отэ -- икровТ";"хыннешиламу";"Творки -- это варшавская больница для ";"умалишенных";", ";"находящаяся в слободе Творки, расположенной на";"Комментарий (16.08.1914) // «Раннее утро», 1914";"";"";"Комментарий";"16.08.1914";"публицистика | нехудожественная";"комментарий";"армия и вооруженные конфликты | политика и общественная жизнь";"«Раннее утро»";"1914";"газета";"омонимия снята автоматически";"13";"145";"н-возраст";"н-уровень";"большая";"Творки -- это варшавская больница для умалишенных, находящаяся в слободе Творки, расположенной на острове одного озера близ Варшавы. ";"116214:5:5"
" мод в мыннечюлказ ьтыб ьнзяоБ";"хыннешиламу";"Боязнь быть заключенным в дом ";"умалишенных";" (";"чем ему грозили его родные) побудила";"Крупинки (03.07.1914) // «Раннее утро», 1914";"";"";"Крупинки";"03.07.1914";"публицистика | нехудожественная";"информационное сообщение";"техника | армия и вооруженные конфликты | частная жизнь";"«Раннее утро»";"1914";"газета";"омонимия снята автоматически";"7";"54";"н-возраст";"н-уровень";"большая";"Боязнь быть заключенным в дом умалишенных (чем ему грозили его родные) побудила его застрелиться. ";"114042:6:5"
" емод в ястидохан ьтам огЕ";"хыннешиламу";"Его мать находится в доме ";"умалишенных";". ";"";"Убийство Жореса (02.08.1914) // «Раннее утро», 1914";"";"";"Убийство Жореса";"02.08.1914";"публицистика | нехудожественная";"заметка";"политика и общественная жизнь | криминал";"«Раннее утро»";"1914";"газета";"омонимия снята автоматически";"23";"174";"н-возраст";"н-уровень";"большая";"Его мать находится в доме умалишенных. ";"116223:21:5"
" мод в ацто ьтичотаз теалеж авоморГ";"хыннешиламу";"Громова желает заточить отца в дом ";"умалишенных";". ";"";"В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)";"В. Я. Шишков";"1873";"Угрюм-река. Ч. 5-8";"1913-1932";"художественная";"роман";"";"Шишков, В. Я.: Угрюм-река";"1987";"книга";"омонимия снята автоматически";"17960";"141298";"н-возраст";"н-уровень";"большая";"Врач считал, что купец Петр Данилыч Громов в психическом смысле совершенно нормален, что ему, врачу, не известны данные, которыми руководствовалась вторично назначенная испытательная комиссия, признавшая здорового человека сумасшедшим, а также не известны мотивы, по которым сын Петра Громова желает заточить отца в дом умалишенных. ";"128831:4680:43"
" икараб иланимопан ,уксарк юутлеж и юурес";"хыннешиламу";"серую и желтую краску, напоминали бараки ";"умалишенных";". ";"";"А. С. Грин. Далекий путь (1913)";"А. С. Грин";"1880";"Далекий путь";"1913";"художественная";"рассказ";"";"А. С. Грин. Собр. соч. в 6 т. Т. 2. Рассказы 1909-1915";"1980";"книга";"омонимия снята автоматически";"301";"4354";"н-возраст";"н-уровень";"большая";"Деревянные дома, выкрашенные в серую и желтую краску, напоминали бараки умалишенных. ";"75864:78:10"
" ялд мод в юинечюлказ мищажелдоп и";"хыннешиламу";"и подлежащим заключению в дом для ";"умалишенных";". ";"";"В России (28.01.1913) // «Русское слово», 1913";"неизвестный";"";"В России";"28.01.1913";"публицистика | нехудожественная";"информационное сообщение";"частная жизнь | политика и общественная жизнь | криминал";"«Русское слово»";"1913";"газета";"омонимия снята автоматически";"18";"263";"н-возраст";"н-уровень";"большая";"Участковый полицейский врач Гурский признал Яблоновского сумасшедшим и подлежащим заключению в дом для умалишенных. ";"109760:6:13"
" яинерзирп ялд итсалбо йоксноД в циньлоб";"хыннешиламу";"больниц в Донской области для призрения ";"умалишенных";", ";"которых в области насчитывается 10 тыс";"В последний час (02.06.1913) // «Московская газета», 1913";"";"";"В последний час";"02.06.1913";"публицистика";"заметка";"здоровье и медицина | спорт | частная жизнь";"«Московская газета»";"1913";"газета";"омонимия снята автоматически";"22";"183";"н-возраст";"н-уровень";"большая";"Общество донских врачей высказалось за необходимость сооружения 4-х психиатрических больниц в Донской области для призрения умалишенных, которых в области насчитывается 10 тыс. человек. ";"112362:15:15"
" ялд емод в вецясем итсеш еенем";"хыннешиламу";"менее шести месяцев в доме для ";"умалишенных";". ";"";"Вести (19.12.1913) // газета «Одесский листок», 1913";"";"";"Вести";"19.12.1913";"публицистика";"информационное сообщение";"досуг, зрелища и развлечения | криминал | бизнес, коммерция, экономика, финансы | техника | спорт | политика и общественная жизнь";"газета «Одесский листок»";"1913";"газета";"омонимия снята автоматически";"21";"187";"н-возраст";"н-уровень";"большая";"На последок возникло общество «бывших сумасшедших», для участия в котором необходимо провести не менее шести месяцев в доме для умалишенных. ";"111858:5:19"
" -- ,иицилоп мяинедевс оп -- йынтсевзиеН";"йыннешиламу";"Неизвестный -- по сведениям полиции, -- ";"умалишенный";", ";"не имеющий ничего общего с суфражистским";"Вести (21.06.1913) // «Русское слово», 1913";"";"";"Вести";"21.06.1913";"публицистика";"информационное сообщение";"политика и общественная жизнь | администрация и управление | здоровье и медицина";"«Русское слово»";"1913";"газета";"омонимия снята автоматически";"12";"87";"н-возраст";"н-уровень";"большая";"Неизвестный -- по сведениям полиции, -- умалишенный, не имеющий ничего общего с суфражистским движением. ";"112438:6:4"
" мод в иливарпто и илазявс ,илижурозебо";"хыннешиламу";"обезоружили, связали и отправили в дом ";"умалишенных";". ";"";"За рубежом (19.08.1913) // «Раннее утро», 1913";"";"";"За рубежом";"19.08.1913";"публицистика";"заметка";"религия | досуг, зрелища и развлечения | здоровье и медицина | частная жизнь";"«Раннее утро»";"1913";"газета";"омонимия снята автоматически";"29";"305";"н-возраст";"н-уровень";"большая";"Хирурга после ожесточенной борьбы обезоружили, связали и отправили в дом умалишенных. ";"113167:28:10"
" ялд уцинбечел в иливарпто оннелдемен огонтсачсеН";"хыннешиламу";"Несчастного немедленно отправили в лечебницу для ";"умалишенных";". ";"";"Нагишом в театре (21.12.1913) // газета «Раннее утро», 1913";"";"";"Нагишом в театре";"21.12.1913";"публицистика";"заметка";"искусство и культура | досуг, зрелища и развлечения | здоровье и медицина | частная жизнь";"газета «Раннее утро»";"1913";"газета";"омонимия снята автоматически";"13";"125";"н-возраст";"н-уровень";"большая";"Несчастного немедленно отправили в лечебницу для умалишенных. ";"111882:12:6"
" иинавовтсьлетедивсо бо и кетпа иинешерзар о";"хыннешиламу";"о разрешении аптек и об освидетельствовании ";"умалишенных";" ";"на предмет наложения на них опеки. ";"В. Ф. Джунковский. Воспоминания. Глава 5. 1909 год (1912)";"В. Ф. Джунковский";"1865";"Воспоминания. Глава 5. 1909 год";"1912";"публицистика | нехудожественная";"мемуары";"администрация и управление | политика и общественная жизнь";"В. Ф. Джунковский. Воспомнания. В двух томах, том первый";"2015";"книга";"омонимия снята автоматически";"1642";"35430";"н-возраст";"н-уровень";"большая";"Во врачебном управлении я обратил особенное внимание на дела о разрешении аптек и об освидетельствовании умалишенных на предмет наложения на них опеки. ";"75126:1491:15"
" еинавовтсьлетедивсО";"хыннешиламу";"Освидетельствование ";"умалишенных";" ";"происходило по четвергам в особом присутствии";"В. Ф. Джунковский. Воспоминания. Глава 5. 1909 год (1912)";"В. Ф. Джунковский";"1865";"Воспоминания. Глава 5. 1909 год";"1912";"публицистика | нехудожественная";"мемуары";"администрация и управление | политика и общественная жизнь";"В. Ф. Джунковский. Воспомнания. В двух томах, том первый";"2015";"книга";"омонимия снята автоматически";"1642";"35430";"н-возраст";"н-уровень";"большая";"Освидетельствование умалишенных происходило по четвергам в особом присутствии врачебного управления, состав коего был предусмотрен в законе. ";"75126:1494:1"
" яинавовтсьлетедивсО";"хыннешиламу";"Освидетельствования ";"умалишенных";" ";"производились по ходатайствам родственников, на предмет";"В. Ф. Джунковский. Воспоминания. Глава 5. 1909 год (1912)";"В. Ф. Джунковский";"1865";"Воспоминания. Глава 5. 1909 год";"1912";"публицистика | нехудожественная";"мемуары";"администрация и управление | политика и общественная жизнь";"В. Ф. Джунковский. Воспомнания. В двух томах, том первый";"2015";"книга";"омонимия снята автоматически";"1642";"35430";"н-возраст";"н-уровень";"большая";"Освидетельствования умалишенных производились по ходатайствам родственников, на предмет наложения опеки, но они не всегда достигали цели. ";"75126:1511:1"
" иинавовтсьлетедивсо ирп еиненлов еошьлоб лавовтсвуч адгесв";"хыннешиламу";"всегда чувствовал большое волнение при освидетельствовании ";"умалишенных";", ";"так как сознавал ту огромную нравственную";"В. Ф. Джунковский. Воспоминания. Глава 5. 1909 год (1912)";"В. Ф. Джунковский";"1865";"Воспоминания. Глава 5. 1909 год";"1912";"публицистика | нехудожественная";"мемуары";"администрация и управление | политика и общественная жизнь";"В. Ф. Джунковский. Воспомнания. В двух томах, том первый";"2015";"книга";"омонимия снята автоматически";"1642";"35430";"н-возраст";"н-уровень";"большая";"Я всегда чувствовал большое волнение при освидетельствовании умалишенных, так как сознавал ту огромную нравственную ответственность, лежавшую на мне как председателе присутствия. ";"75126:1520:7"
" ялд уциньлоб в -- ьтуп йитерт еще";"хыннешиламу";"еще третий путь -- в больницу для ";"умалишенных";" ";"Николая Чудотворца. ";"«Манифест» Бурцева (10.06.1912) // «Новое время», 1912";"неизвестный";"";"«Манифест» Бурцева";"10.06.1912";"публицистика | нехудожественная";"статья";"администрация и управление | криминал | политика и общественная жизнь";"«Новое время»";"1912";"газета";"омонимия снята автоматически";"23";"467";"н-возраст";"н-уровень";"большая";"Читая, однако, приведенный в выдержках документ невольно представляешь себе для Бурцева еще третий путь -- в больницу для умалишенных Николая Чудотворца. ";"105540:22:17"
" емод в ьнзиж иличнок огороток иьмес";"хыннешиламу";"семьи которого кончили жизнь в доме ";"умалишенных";". ";"";"Авантюры чикагского профессора (12.08.1912) // «Народная копейка», 1912";"неизвестный";"";"Авантюры чикагского профессора";"12.08.1912";"публицистика | нехудожественная";"заметка";"криминал";"«Народная копейка»";"1912";"газета";"омонимия снята автоматически";"14";"162";"н-возраст";"н-уровень";"большая";"Следователь усомнился в нормальности профессора, члены семьи которого кончили жизнь в доме умалишенных. ";"104960:13:12"
" ялд оньлетичюлкси ,дорог йыбосо ьтиортсыв а";"хыннешиламу";"а выстроить особый город, исключительно для ";"умалишенных";". ";"";"Вести (06.08.1912) // «Московская газета копейка», 1912";"неизвестный";"";"Вести";"06.08.1912";"публицистика | нехудожественная";"заметка";"религия | политика и общественная жизнь | частная жизнь | здоровье и медицина | администрация и управление";"«Московская газета копейка»";"1912";"газета";"омонимия снята автоматически";"24";"210";"н-возраст";"н-уровень";"большая";"В Пруссии решено было три года назад, централизировать дело призрения сумасшедших и отныне строить для них не дома в отдельных городах, а выстроить особый город, исключительно для умалишенных. ";"104878:20:27"
" ялд ециньлоб в рему оге цето";"хыннешиламу";"отец его умер в больнице для ";"умалишенных";"). ";"";"Убийство премьер-министра (письмо из Лондона) (16.05.1912) // «Утро России», 1912";"неизвестный";"";"Убийство премьер-министра (письмо из Лондона)";"16.05.1912";"публицистика | нехудожественная";"статья";"история | криминал";"«Утро России»";"1912";"газета";"омонимия снята автоматически";"26";"286";"н-возраст";"н-уровень";"большая";"Несчастный купец был и так предрасположен к сумасшествию (отец его умер в больнице для умалишенных). ";"105226:18:14"
